date,return_1d,return_3d,return_5d,clv,up_streak,down_streak,accel,target
2025-11-03,-,-,-,0.0262,0,0,-,1.0
2025-11-04,0.0008,-,-,-0.008,1,0,-,0.0
2025-11-06,-0.013,-,-,-0.6304,0,1,-0.0137,0.0
2025-11-07,-0.0096,-0.0217,-,0.1857,0,2,0.0033,1.0
2025-11-10,0.0024,-0.0202,-,-0.2768,1,0,0.012,1.0
2025-11-11,0.0193,0.0119,-0.0005,0.1969,2,0,0.0169,1.0
2025-11-12,0.0052,0.027,0.0039,0.204,3,0,-0.0141,0.0
2025-11-13,-0.0152,0.009,0.0016,-0.9046,0,1,-0.0204,1.0
2025-11-14,0.0044,-0.0058,0.0158,0.1418,1,0,0.0196,1.0
2025-11-17,0.0251,0.0139,0.0388,0.4773,2,0,0.0207,0.0
2025-11-18,-0.0044,0.025,0.0147,0.6913,0,1,-0.0295,0.0
2025-11-19,-0.0068,0.0137,0.0026,-0.7111,0,2,-0.0024,0.0
2025-11-20,-0.0083,-0.0194,0.0096,-0.6514,0,3,-0.0016,0.0
2025-11-21,-0.0032,-0.0181,0.0021,-0.763,0,4,0.0052,0.0
2025-11-24,-0.0061,-0.0175,-0.0284,0.1959,0,5,-0.003,0.0
2025-11-25,-0.0354,-0.0443,-0.0587,-0.4414,0,6,-0.0293,1.0
2025-11-26,0.0122,-0.0296,-0.0407,-0.0973,1,0,0.0476,0.0
2025-11-27,-0.0058,-0.0292,-0.0382,-0.75,0,1,-0.018,0.0
2025-11-28,-0.0047,0.0016,-0.0397,-0.0727,0,2,0.0011,0.0
2025-12-01,-0.0267,-0.0369,-0.0596,-0.8463,0,3,-0.022,0.0
2025-12-02,-0.0025,-0.0337,-0.0276,0.0986,0,4,0.0243,1.0
2025-12-03,0.0066,-0.0228,-0.033,-0.3887,1,0,0.009,0.0
2025-12-04,-0.0102,-0.0062,-0.0373,-0.8194,0,1,-0.0168,1.0
2025-12-05,0.0009,-0.0029,-0.0319,0.3,1,0,0.0111,0.0
2025-12-08,-0.0309,-0.04,-0.0361,-0.6845,0,1,-0.0318,1.0
2025-12-09,0.0264,-0.0045,-0.0083,0.6228,1,0,0.0573,0.0
2025-12-10,-0.0186,-0.0239,-0.0331,-0.6945,0,1,-0.045,1.0
2025-12-11,0.0086,0.0159,-0.0147,0.6515,1,0,0.0272,1.0
2025-12-12,0.006,-0.0043,-0.0097,0.5694,2,0,-0.0026,1.0
2025-12-15,0.0055,0.0202,0.0276,0.5819,3,0,-0.0004,0.0
2025-12-16,-0.0147,-0.0033,-0.0135,-0.5025,0,1,-0.0202,0.0
2025-12-17,-0.0086,-0.0177,-0.0034,-0.4768,0,2,0.0061,0.0
2025-12-18,-0.0025,-0.0256,-0.0143,0.5536,0,3,0.0061,1.0
2025-12-19,0.0175,0.0063,-0.003,0.5706,1,0,0.0199,1.0
2025-12-22,0.0267,0.0421,0.0179,0.156,2,0,0.0092,1.0
2025-12-23,0.0402,0.0866,0.0747,-0.162,3,0,0.0135,1.0
2025-12-24,0.0027,0.0708,0.0869,-0.3732,4,0,-0.0375,1.0
2025-12-26,0.0414,0.0862,0.1347,0.4277,5,0,0.0387,0.0
2025-12-29,-0.0302,0.0127,0.0815,-0.7866,0,1,-0.0716,0.0
2025-12-30,-0.0316,-0.022,0.0201,-0.906,0,2,-0.0014,1.0
2025-12-31,0.0233,-0.0389,0.0036,-0.6289,1,0,0.055,0.0
